DATE,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JM,L,M,MA,NI,OI,P,PB,PP,PTA,PVC,RB,RM,RU,SN,SR,Y,ZC,ZN
2017/1/31,0.072263458,0.341484,-0.23296,0.395139,5.223181818,0.419558,0.860027855,-0.070032573,0.158556,-0.038598575,-0.055980018,0.214409105,0.222826,-0.23755,1.816481,0.016828779,-0.08058,-0.08048,2.320309,-0.54253,0.175285,,6.830732293,47.33333,0.378271641,,0.237221494,0.521214,0.860027855,0.179292,0.196938,-0.16946
2017/2/1,0.082529512,0.321018,-0.23114,0.372486,5.237357631,0.419558,0.865223464,-0.070032573,0.133193,-0.038598575,-0.055980018,0.214409105,0.222826,-0.23755,1.613356,0.016828779,-0.08058,-0.07684,2.405401,-0.54253,0.174743,,6.698701737,47.33333,0.378271641,,0.237337328,0.564257,0.865223464,0.198584,0.204186,-0.16643
2017/2/2,0.084908684,0.312693,-0.23211,0.368155,5.237357631,0.419558,0.865223464,-0.070032573,0.122768,-0.038598575,-0.055980018,0.237547893,0.222826,-0.23755,1.613356,0.016828779,-0.08058,-0.0732,2.405401,-0.54253,0.179347,,6.255378651,47.33333,0.378271641,,0.238090777,0.582059,0.865223464,0.198584,0.221592,-0.17347
2017/2/3,0.118947634,0.312195,-0.23306,0.370993,5.237357631,0.419558,0.868292683,-0.070032573,0.100182,-0.038598575,0.112498776,0.237547893,0.07337,-0.30204,1.613356,0.066851938,-0.06238,-0.07225,2.405401,-0.54253,0.180131,,6.17352415,47.33333,0.710501141,,0.22868163,0.591568,0.868292683,0.198584,0.210578,-0.17919
2017/2/4,0.118947634,0.303177,-0.23149,0.370993,5.237357631,0.419558,0.868292683,-0.070032573,0.079386,-0.038598575,0.112498776,0.237547893,0.07337,-0.30204,1.613356,0.066851938,0.133663,-0.06965,2.405401,-0.54253,0.175964,,5.934348644,47.33333,0.710501141,,0.222489366,0.646618,0.868292683,0.198584,0.251938,-0.18359
2017/2/5,0.118947634,0.303177,-0.23028,0.370993,5.237357631,0.419558,0.868292683,-0.070032573,0.049828,-0.042295179,0.112498776,0.237547893,0.07337,-0.30204,1.613356,0.066851938,0.133663,-0.06675,2.868077,-0.54253,0.175049,,5.934348644,47.33333,0.710501141,,0.222489366,0.853157,0.868292683,0.198584,0.221126,-0.18359
2017/2/6,0.129722167,0.310417,-0.2323,0.371136,5.237357631,0.393888,0.899651568,-0.151465798,0.0688,-0.042295179,0.112498776,0.237547893,0.07337,-0.30204,1.613356,0.066851938,0.133663,-0.06734,2.868077,-0.54253,0.175571,,5.940476913,47.33333,0.710501141,,0.221842057,0.839317,0.899651568,0.198584,0.182208,-0.18918
2017/2/7,0.122217517,0.308444,-0.22961,0.369702,5.237357631,0.392267,0.973519164,-0.151465798,0.089218,-0.042295179,0.112498776,0.237547893,0.07337,-0.30204,1.607346,0.066851938,0.133663,-0.06526,2.868077,-0.52399,0.186366,,5.939809478,47.33333,0.710501141,,0.226696874,0.813581,0.973519164,0.198584,0.169648,-0.19137
2017/2/8,0.128114028,0.3081,-0.23041,0.359651,5.237357631,0.392267,0.841114983,-0.180781759,0.131147,-0.042295179,0.112498776,0.237547893,0.07337,-0.30204,2.318531,0.066851938,0.133663,-0.0636,2.868077,-0.50544,0.194535,,5.939809478,47.33333,0.710501141,,0.226558165,0.810356,0.841114983,0.313235,0.168055,-0.18849
2017/2/9,0.12698833,0.3094,-0.2299,0.366041,5.250113895,0.392267,0.868989547,-0.188925081,0.191387,-0.042295179,0.112498776,0.237547893,0.07337,-0.30204,2.318531,0.066851938,0.133663,-0.06489,2.868077,-0.50544,0.197413,,5.944663552,47.33333,0.710501141,,0.226234511,0.787785,0.868989547,0.313235,0.157223,-0.18773
