DATE,A,AG,AL,AU,BU,C,CF,CS,CU,FG,HC,I,J,JM,L,M,MA,NI,OI,P,PB,PP,PTA,PVC,RB,RM,RU,SN,SR,Y,ZC,ZN
20090414,0.970473538,,0.981010254,1.01108387,,0.993510324,0.996977711,,0.959940284,,,,,,1.002742732,0.996160558,,,1.004155125,1.013640792,,,1.026597371,,1.026232344,,0.976315789,,1.004677755,1.007620164,,0.987998451
20090415,1.009184845,,0.987998451,0.991664562,,1.000593824,0.995452823,,1.020217729,,,,,,1.009846827,1.00385424,,,1.021793103,1.039730855,,,1.027992853,,1.000561798,,1.032681941,,0.990170719,1.030250145,,1.028605016
20090416,1.004266212,,1.003918495,1.002394294,,1.001186944,1.002664636,,1.023628049,,,,,,1.020585049,1.019197208,,,1.005939525,0.993220339,,,1.041135574,,1.009545199,,1.023164763,,0.999216301,1.009881423,,1.046095238
20090417,1.003115265,,1.005854801,0.977892971,,0.998814464,0.998861048,,0.975179945,,,,,,0.999469214,1.007534247,,,0.996242619,1.004343779,,,0.97968837,,1.006674082,,0.994897959,,0.997385621,1.005591278,,0.989439184
20090420,0.976002259,,1.002328289,0.994179399,,0.983976261,1.000380084,,0.995164164,,,,,,1.010090281,0.970768185,,,0.989493534,0.99536608,,,1.014200511,,1.000828729,,0.968910256,,0.997116645,0.986377537,,0.984909827
20090421,0.989875615,,0.969802555,1.027914271,,1.00482509,0.995820669,,0.955754476,,,,,,0.968454259,0.977941176,,,0.957527906,0.957479826,,,0.973116774,,0.972674579,,0.958981145,,0.997896951,0.956313416,,0.961136024
20090422,1.006428989,,1.01237525,0.993236371,,1.00180072,1.000381534,,0.97404335,,,,,,1.041259501,1.011457214,,,1.010235997,1.011345219,,,1.001726619,,1.000567537,,0.978958261,,0.999736565,1.00795756,,0.961897356
20090423,1.005226481,,1.016561514,1.007116891,,1.011983223,0.998093059,,1.005769231,,,,,,0.993222106,0.996460177,,,1.050098508,1.015384615,,,1.003734559,,0.996313103,,1.01726568,,0.999736495,1.013157895,,1.007679871
20090424,0.986712883,,0.988363072,1.022623284,,0.998223801,0.998853649,,0.955476646,,,,,,0.966929134,0.974067496,,,0.990083088,0.987058081,,,0.991127647,,0.996584116,,0.960512643,,0.996046389,0.995382395,,0.971520257
20090427,0.956088993,,0.984301413,1.001391996,,0.983985765,0.996557001,,0.986563751,,,,,,1.002714441,0.959883297,,,0.962100704,0.966101695,,,1.03898354,,0.999428735,,1.018391634,,1.016141836,0.960568281,,0.977704377
20090428,1.003980404,,0.981658692,0.98009234,,1.003616637,0.999616123,,0.988988699,,,,,,0.988088793,0.991641337,,,1.009848059,1,,,1.027515286,,1.002286368,,1.002478754,,1,1.012073649,,1.008868243
20090429,1.013723696,,1.012185215,0.998885625,,1.002402402,0.996159754,,1.021974802,,,,,,0.983013699,1.019923372,,,1.009473391,1.012578616,,,0.995942656,,1.003706872,,1.021547156,,1.021614583,1.019385625,,1.030556718
20090430,1.018953069,,1.00882825,1.004969574,,1.000599161,1.00231303,,1.037844037,,,,,,1.010590858,1.021788129,,,1.023737234,1.035959464,,,0.99293862,,1.009375,,1.010719225,,0.986744838,1.033937975,,1.014216084
20090504,1.043991733,,1.024264121,0.995610051,,0.998203593,1.010769231,,1.045856354,,,,,,1.04743519,1.047794118,,,1.046104071,1.038497949,,,1.003555799,,1.02336054,,1.055764625,,0.991991733,1.037351443,,1.058069684
20090505,0.985011312,,0.987184466,1.009680199,,0.9970006,0.99847793,,0.987321712,,,,,,0.979462875,0.990877193,,,0.986082474,1.011242783,,,0.975742709,,0.983773377,,0.984769929,,1.001302083,1.005728314,,0.965177896
20090506,1.00717772,,1.011014949,0.998845497,,1.001203369,1.004573171,,1.016051364,,,,,,1.008064516,1.018413598,,,1.026659697,1.025240385,,,1.001117318,,1.004752586,,1.033234617,,1.00130039,1.031461893,,1.026666667
20090507,0.993158495,,0.999610895,1.011759385,,0.998197115,1,,1.006055819,,,,,,1.020266667,0.994436718,,,0.991089613,0.998827667,,,0.999720982,,0.999721758,,0.991082803,,1.002077922,0.99158559,,1.009167303
20090508,1.004305396,,1.008174387,1.002086127,,1.002408188,1.006069803,,1.018581523,,,,,,1.036591741,0.99965035,,,1.020806576,1.017605634,,,1.00390734,,1.005844698,,1.013817481,,1.000259202,1.022805622,,1.003028009
