"","x"
"365",0.00204619333333333
"366",0.000572712333333333
"367",0.017640941
"368",-0.005098267
"369",0.00297656
"370",-0.0298617803333333
"371",-0.0100423373333333
"372",0
"373",0
"374",0
"375",0
"376",0
"377",0
"378",0
"379",0
"380",0
"381",0
"382",0.0107401976666667
"383",-0.00524705516666667
"384",0.0100910359166667
"385",-0.0122713480833333
"386",0.00354463858333333
"387",-0.000942510916666666
"388",0.005288299
"389",0.0012794685
"390",-0.00419365083333333
"391",0.00528858858333333
"392",0.004866087
"393",-0.00113454266666667
"394",0.000396705666666665
"395",-0.00966747333333333
"396",0.00206111266666667
"397",0.00677549366666667
"398",0.000195429333333333
"399",-0.00350487066666667
"400",-0.000290076666666667
"401",0.00206092066666667
"402",0
"403",0
"404",0
"405",0
"406",0
"407",0
"408",0
"409",0
"410",0
"411",0
"412",-0.0007375735
"413",-0.0076898945
"414",-0.002391661
"415",0.0120519126666667
"416",-0.000496744000000001
"417",-0.007037894
"418",0.00730496466666667
"419",0.00767847533333333
"420",-0.00402971766666666
"421",0.0152518065
"422",0.000877101166666668
"423",-0.00146912716666667
"424",0.000447743333333333
"425",-0.00478401033333333
"426",-0.0007145445
"427",-0.017612857
"428",-0.000685862166666665
"429",-0.005982418
"430",-0.003494221
"431",-0.007641179
"432",-0.002567934
"433",0.000793718833333333
"434",0.000391886666666667
"435",-0.00828744583333333
"436",0.00135137083333333
"437",-0.0137658078333333
"438",0.0094741135
"439",0.00316775583333333
"440",-0.00285385866666667
"441",0.00659342466666667
"442",0.00141868075
"443",-0.00243897025
"444",0.01743807075
"445",-0.01209534575
"446",0.000457335250000003
"447",0.0050899425
"448",-0.00011927825
"449",-0.03913327675
"450",0.00227330975
"451",-0.00517841875
"452",0.00618104766666666
"453",-0.00139916766666667
"454",-0.0178374266666667
"455",0.0117458773333333
"456",0.00709154066666667
"457",-0.00325176266666667
"458",-0.027774085
"459",-0.002542059
"460",-0.000802687333333333
"461",-0.004878435
"462",0.00546140666666667
"463",0.00477115433333333
"464",-0.0119595663333333
"465",0.00733786353333333
"466",0.00334379853333333
"467",-0.00326656993333333
"468",0.00567937946666667
